last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Guerrero, Tayron, Tayron Guerrero,2018,58,35,
Guduan, Reymin, Reymin Guduan,2018,3.1,1,
Mayers, Mike, Mike Mayers,2018,51.2,27,
Asher, Alec, Alec Asher,2018,3,0,
deGrom, Jacob, Jacob deGrom,2018,217,41,
Gonzales, Marco, Marco Gonzales,2018,166.2,74,
Grace, Matt, Matt Grace,2018,59.2,19,
Lively, Ben, Ben Lively,2018,30.1,19,
Ponce de Leon, Daniel, Daniel Ponce de Leon,2018,33,10,
Sadler, Casey, Casey Sadler,2018,4.1,4,
Shackelford, Kevin, Kevin Shackelford,2018,8,7,
Treinen, Blake, Blake Treinen,2018,80.1,7,
Eickhoff, Jerad, Jerad Eickhoff,2018,5.1,4,
Haley, Justin, Justin Haley,2018,7.2,4,
Okert, Steven, Steven Okert,2018,7.1,1,
Sherriff, Ryan, Ryan Sherriff,2018,5.2,4,
Winkler, Dan, Dan Winkler,2018,60.1,23,
Beede, Tyler, Tyler Beede,2018,7.2,7,
Burdi, Nick, Nick Burdi,2018,1.1,3,
Cole, A.J., A.J. Cole,2018,48.1,33,
Curtiss, John, John Curtiss,2018,6.1,4,
Junis, Jakob, Jakob Junis,2018,177,86,
Maples, Dillon, Dillon Maples,2018,5.1,7,
Mengden, Daniel, Daniel Mengden,2018,115.2,52,
Norris, Daniel, Daniel Norris,2018,44.1,28,
Peters, Dillon, Dillon Peters,2018,27.2,22,
Poyner, Bobby, Bobby Poyner,2018,22.1,8,
Shafer, Justin, Justin Shafer,2018,8.1,3,
Stephenson, Robert, Robert Stephenson,2018,11.2,12,
Weaver, Luke, Luke Weaver,2018,136.1,75,
Lawrence, Casey, Casey Lawrence,2018,23.1,19,
Gomber, Austin, Austin Gomber,2018,75,37,
Quinn, Roman, Roman Quinn,2018,1.2,7,
Neverauskas, Dovydas, Dovydas Neverauskas,2018,27,24,
Gomez, Roberto, Roberto Gomez,2018,9.1,8,
Johnson, DJ, DJ Johnson,2018,6.1,3,
Barnes, Matt, Matt Barnes,2018,61.2,25,
Johnson, Brian, Brian Johnson,2018,99.1,46,
Ramirez, Noe, Noe Ramirez,2018,83.1,42,
Saupold, Warwick, Warwick Saupold,2018,34.1,17,
Leclerc, Jose, Jose Leclerc,2018,57.2,10,
Paulino, David, David Paulino,2018,6.2,1,
Rodriguez, Ricardo, Ricardo Rodriguez,2018,6.2,3,
Rosario, Randy, Randy Rosario,2018,46.2,19,
Vieira, Thyago, Thyago Vieira,2018,17.2,14,
Pivetta, Nick, Nick Pivetta,2018,164,87,
Almonte, Miguel, Miguel Almonte,2018,7,8,
Anderson, Justin, Justin Anderson,2018,55.1,25,
Barlow, Scott, Scott Barlow,2018,15,6,
Bassitt, Chris, Chris Bassitt,2018,47.2,16,
Black, Ray, Ray Black,2018,23.1,16,
Bradley, Archie, Archie Bradley,2018,71.2,29,
Brebbia, John, John Brebbia,2018,50.2,18,
Brewer, Colten, Colten Brewer,2018,9.2,6,
Brooks, Aaron, Aaron Brooks,2018,2.2,0,
Bundy, Dylan, Dylan Bundy,2018,171.2,104,
Chafin, Andrew, Andrew Chafin,2018,49.1,17,
Clevinger, Mike, Mike Clevinger,2018,200,67,
Crick, Kyle, Kyle Crick,2018,60.1,16,
Davies, Zach, Zach Davies,2018,66,35,
Edwards Jr., Carl, Carl Edwards Jr.,2018,52,15,
Finnegan, Brandon, Brandon Finnegan,2018,20.2,17,
Fry, Jace, Jace Fry,2018,51.1,25,
Fulmer, Michael, Michael Fulmer,2018,132.1,69,
Gossett, Daniel, Daniel Gossett,2018,24.1,14,
Graves, Brett, Brett Graves,2018,33.1,20,
Guerrieri, Taylor, Taylor Guerrieri,2018,9.2,5,
Hess, David, David Hess,2018,103.1,56,
Holmes, Clay, Clay Holmes,2018,26.1,20,
Houser, Adrian, Adrian Houser,2018,13.2,5,
Jerez, Williams, Williams Jerez,2018,15,10,
Kela, Keone, Keone Kela,2018,52,19,
Lopez, Jorge, Jorge Lopez,2018,53.2,30,
Marshall, Evan, Evan Marshall,2018,7,6,
Morgan, Adam, Adam Morgan,2018,49.1,21,
Musgrove, Joe, Joe Musgrove,2018,115.1,52,
Nola, Aaron, Aaron Nola,2018,212.1,56,
Rios, Yacksel, Yacksel Rios,2018,36,27,
Rodriguez, Dereck, Dereck Rodriguez,2018,118.1,37,
Ross, Joe, Joe Ross,2018,16,9,
Smith, Carson, Carson Smith,2018,14.1,6,
Snell, Blake, Blake Snell,2018,180.2,38,
Spangenberg, Cory, Cory Spangenberg,2018,2,3,
Springs, Jeffrey, Jeffrey Springs,2018,32,12,
Suarez, Andrew, Andrew Suarez,2018,160.1,80,
Tarpley, Stephen, Stephen Tarpley,2018,9,3,
Turnbull, Spencer, Spencer Turnbull,2018,16.1,11,
Wendelken, J.B., J.B. Wendelken,2018,16.2,1,
Wisler, Matt, Matt Wisler,2018,40,19,
Woodruff, Brandon, Brandon Woodruff,2018,42.1,17,
Wright, Mike, Mike Wright,2018,84.1,52,
Perdomo, Luis, Luis Perdomo,2018,44.2,35,
Gallegos, Giovanny, Giovanny Gallegos,2018,11.1,5,
Ramirez, Yefry, Yefry Ramirez,2018,65.1,43,
Mejia, Adalberto, Adalberto Mejia,2018,22.1,5,
Elias, Roenis, Roenis Elias,2018,51,15,
Garcia, Jarlin, Jarlin Garcia,2018,66,36,
Araujo, Pedro, Pedro Araujo,2018,28,24,
Moronta, Reyes, Reyes Moronta,2018,65,18,
Barnes, Jacob, Jacob Barnes,2018,48.2,18,
Carroll, Cody, Cody Carroll,2018,17,17,
Devenski, Chris, Chris Devenski,2018,47.1,22,
Glover, Koda, Koda Glover,2018,16.1,6,
Hancock, Justin, Justin Hancock,2018,12.1,2,
Rodon, Carlos, Carlos Rodon,2018,120.2,56,
Faria, Jake, Jake Faria,2018,65,39,
Glasnow, Tyler, Tyler Glasnow,2018,111.2,53,
Fedde, Erick, Erick Fedde,2018,50.1,31,
Skoglund, Eric, Eric Skoglund,2018,70,40,
Krehbiel, Joey, Joey Krehbiel,2018,3,0,
Romano, Sal, Sal Romano,2018,145.2,86,
Gsellman, Robert, Robert Gsellman,2018,80,38,
Gant, John, John Gant,2018,114,44,
Garrett, Amir, Amir Garrett,2018,63,30,
Biagini, Joe, Joe Biagini,2018,72,48,
Tropeano, Nick, Nick Tropeano,2018,76,40,
Banda, Anthony, Anthony Banda,2018,14.2,6,
Barraclough, Kyle, Kyle Barraclough,2018,55.2,26,
Bradford, Chasen, Chasen Bradford,2018,53.2,22,
Bummer, Aaron, Aaron Bummer,2018,31.2,15,
Freeland, Kyle, Kyle Freeland,2018,202.1,64,
Howard, Sam, Sam Howard,2018,4,1,
Lugo, Seth, Seth Lugo,2018,101.1,30,
Means, John, John Means,2018,3.1,5,
Vasquez, Andrew, Andrew Vasquez,2018,5,3,
Rucinski, Drew, Drew Rucinski,2018,35.1,17,
De Jong, Chase, Chase De Jong,2018,17.2,7,
Fried, Max, Max Fried,2018,33.2,11,
Fulmer, Carson, Carson Fulmer,2018,32.1,29,
